dns.id	ip.src	ip.dst	frame.time_epoch	dns.qry.type	dns.qry.name.len	dns.qry.name	frame.len	dns.resp.ttl	dns.cname	dns.a	dns.aaaa	dns.txt
"0x0000652b"	"203.219.233.150"	"187.124.15.148"	"1505818665.208230000"	"16"	"225"	"3.1o18sr00n5q1o8psp37q3qqqr8r29o907477q7s9so7s45n9r698r845r88sq62.8s6p5r741p635393648s24q008sp98r528385546321spo3r5q8116n437s09rp.po105o8122q6p1743r508008rqoo112q84p8378pr970o9576q2opo4ns9.05ss2ppsno1p451o.i.03.s.sophosxl.net"	"407"	"300,300,300"				"x u"
"0x000054be"	"187.124.15.148"	"187.124.45.219"	"1505818665.208384000"	"16"	"225"	"3.1o18sr00n5q1o8psp37q3qqqr8r29o907477q7s9so7s45n9r698r845r88sq62.8s6p5r741p635393648s24q008sp98r528385546321spo3r5q8116n437s09rp.po105o8122q6p1743r508008rqoo112q84p8378pr970o9576q2opo4ns9.05ss2ppsno1p451o.i.03.s.sophosxl.net"	"305"	"300"				"x u"
"0x00009b1d"	"187.124.15.148"	"187.124.21.255"	"1505818665.208856000"	"1"	"17"	"dc2tmp.winad.priv"	"97"	"1478"		"138.48.4.11"		
"0x00009261"	"203.182.170.248"	"187.124.15.148"	"1505818665.214744000"	"16"	"33"	"36.128.3.185.ip.00.s.sophosxl.net"	"110"	"10"				""
"0x0000e137"	"187.124.15.148"	"187.124.27.211"	"1505818665.214864000"	"16"	"33"	"36.128.3.185.ip.00.s.sophosxl.net"	"110"	"10"				""
"0x00000b9f"	"187.124.15.148"	"187.124.27.211"	"1505818665.214905000"	"16"	"33"	"36.128.3.185.ip.00.s.sophosxl.net"	"110"	"10"				""
"0x0000d7cd"	"187.124.15.148"	"187.124.27.211"	"1505818665.214940000"	"16"	"33"	"36.128.3.185.ip.00.s.sophosxl.net"	"110"	"10"				""
"0x0000c9a2"	"203.182.164.218"	"187.124.15.148"	"1505818665.257128000"	"16"	"56"	"1.prqrkvf-2se20-2rtvs.163.172.15.235.m.04.s.sophosxl.net"	"160"	"10"				"w u h 0 0	#dc9344278b129f95"
"0x00002065"	"187.124.15.148"	"187.124.21.255"	"1505818665.257270000"	"16"	"56"	"1.prqrkvf-2se20-2rtvs.163.172.15.235.m.04.s.sophosxl.net"	"160"	"10"				"w u h 0 0	#dc9344278b129f95"
"0x00006182"	"207.125.69.158"	"187.124.15.148"	"1505818665.301242000"	"16"	"215"	"3.1o19sr00nn3osn8qp37583pqr85q6p1p6977q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp9s17n54190n2rs18412r5878o.r2111r8039q6p173o2q592r4.0437p4q5r3rr0po9s3soqop0098r62p5n5r7r68p.i.03.s.sophosxl.net"	"279"					
"0x00000009"	"187.124.15.148"	"187.124.55.186"	"1505818665.301322000"	"16"	"215"	"3.1o19sr00nn3osn8qp37583pqr85q6p1p6977q7s9so7s45n9r695n0qr927o8s2.n5qp8r741p635393648s29q02870452r9o0nrp9s17n54190n2rs18412r5878o.r2111r8039q6p173o2q592r4.0437p4q5r3rr0po9s3soqop0098r62p5n5r7r68p.i.03.s.sophosxl.net"	"279"					
"0x0000f579"	"187.124.15.148"	"187.124.251.249"	"1505818665.325417000"	"1"	"20"	"kadikoypaintball.com"	"116"	"87,87"		"104.24.105.228,104.24.104.228"		
